"id","text","category_id"
0,"The flag of South Africa features 7 colours.",9
1,"Half-Life by Valve uses the GoldSrc game engine, which is a highly modified version of what engine?",9
2,"There aren&#039;t any live-action clones in &quot;Star Wars: Episode III - Revenge of the Sith&quot;.",9
3,"Leonardo da Vinci&#039;s Mona Lisa does not have eyebrows.",9
4,"Which sign of the zodiac is represented by the Crab?",9
5,"What was the title of the first Bond movie, released in 1962?",9
6,"Irish musician Hozier released a music track in 2013 titled, &quot;Take Me to ______&quot;",9
7,"What country is the Hussarya supercar, made by the car manufacturer &quot;Arrinera&quot;, assembled in?",9
8,"All of the following are towns/villages in the Pacific Island nation of Kiribati EXCEPT:",9
9,"Complete the following analogy: Audi is to Volkswagen as Infiniti is to ?",9
10,"In web design, what does CSS stand for?",9
11,"Which modern day country is the region that was known as Phrygia in ancient times?",9
12,"What was the name of Ross&#039; pet monkey on &quot;Friends&quot;?",9
13,"Which of these companies does NOT manufacture motorcycles?",9
14,"What is the name of the machine that fails and essentially dooms mankind in the beginning of the first Half-Life game?",9
15,"Which of the following is NOT a real element?",9
16,"Which one of these Pink Floyd albums were also a movie?",9
17,"What is the right way to spell the capital of Hungary?",9
18,"In Undertale, having a &quot;Fun Value&quot; set to 56-57 will play the &quot;Wrong Number Song Call&quot;.",9
19,"The &quot;Day of Defeat&quot; series of games take place during which war?",9
20,"What ingredients are required to make a cake in Minecraft?",9
21,"In the game Battleblock Theater, what was the name of the voice actor who voiced the narrator?",9
22,"Switzerland has four national languages, English being one of them.",9
23,"Which of these species is not extinct?",9
24,"Which famous New York Yankees outfielder did Marilyn Monroe marry?",9
25,"Nickelodeon rejected the pilot to Adventure Time.",9
26,"What is the name of the process that sends one qubit of information using two bits of classical information?",9
27,"When did the CD begin to appear on the consumer market?",9
28,"The LS1 engine is how many cubic inches?",9
29,"What does the International System of Quantities refer 1024 bytes as?",9
30,"In what year did &quot;Bob Ross&quot; die?",9
31,"What does the term MIME stand for, in regards to computing?",9
32,"Who is the armored titan in &quot;Attack On Titan&quot;?",9
33,"From which album is the Gorillaz song, &quot;On Melancholy Hill&quot; featured in?",9
34,"How many rivers are in Saudi Arabia?",9
35,"Which of these Generation 1 Pokemon did NOT have an evolution in Generation 4?",9
36,"Which of the following is NOT a capital city?",9
