"id","question_id","text","is_correct"
0,0,"True",false
1,0,"False",true
2,1,"id Engine",false
3,1,"Doom Engine",false
4,1,"Source Engine",false
5,1,"Quake Engine",true
6,2,"False",false
7,2,"True",true
8,3,"False",false
9,3,"True",true
10,4,"Cancer",true
11,4,"Sagittarius",false
12,4,"Virgo",false
13,4,"Libra",false
14,5,"Thunderball",false
15,5,"Goldfinger",false
16,5,"From Russia with Love",false
17,5,"Dr. No",true
18,6,"Temple",false
19,6,"Church",true
20,6,"Mosque",false
21,6,"Synagogue",false
22,7,"Poland",true
23,7,"Sweden",false
24,7,"Italy",false
25,7,"China",false
26,8,"Washington",false
27,8,"Urutora",true
28,8,"Rungata",false
29,8,"London",false
30,9,"Subaru",false
31,9,"Nissan",true
32,9,"Honda",false
33,9,"Hyundai",false
34,10,"Cascading Style Sheet",true
35,10,"Corrective Style Sheet",false
36,10,"Counter Strike: Source",false
37,10,"Computer Style Sheet",false
38,11,"Egypt",false
39,11,"Turkey",true
40,11,"Greece",false
41,11,"Syria",false
42,12,"Champ",false
43,12,"Marcel",true
44,12,"George",false
45,12,"Jojo",false
46,13,"Toyota",true
47,13,"Kawasaki",false
48,13,"Yamaha",false
49,13,"Honda",false
50,14,"Anti-mass spectrometer",true
51,14,"Dark fusion reactor",false
52,14,"Dark fusion resonator",false
53,14,"Oscillation generator",false
54,15,"Vitrainium",true
55,15,"Praseodymium",false
56,15,"Lutetium",false
57,15,"Hassium",false
58,16,"Wish You Were Here",false
59,16,"The Wall",true
60,16,"The Dark Side of the Moon",false
61,16,"Animals",false
62,17,"Bhudapest",false
63,17,"Budapast",false
64,17,"Budapest",true
65,17,"Boodapest",false
66,18,"False",true
67,18,"True",false
68,19,"Iraq War",false
69,19,"World War II",true
70,19,"World War I",false
71,19,"Vietnam War",false
72,20,"Milk, Sugar Cane, Egg, and Wheat",false
73,20,"Milk, Sugar, and Wheat",false
74,20,"Milk, Sugar, Egg, and Wheat",true
75,20,"Milk, Bread, Egg, and Wheat",false
76,21,"Steve Blum",false
77,21,"Yuri Lowenthal",false
78,21,"Richard Epcar",false
79,21,"Will Stamper",true
80,22,"False",true
81,22,"True",false
82,23,"Japanese sea lion",false
83,23,"Komodo dragon",true
84,23,"Saudi gazelle",false
85,23,"Tasmanian tiger",false
86,24,"Babe Ruth",false
87,24,"Mason Williams",false
88,24,"Tino Martinez",false
89,24,"Joe DiMaggio",true
90,25,"True",true
91,25,"False",false
92,26,"Quantum Entanglement",false
93,26,"Quantum Programming",false
94,26,"Super Dense Coding",false
95,26,"Quantum Teleportation",true
96,27,"1992",false
97,27,"1982",true
98,27,"1972",false
99,27,"1962",false
100,28,"350",false
101,28,"355",false
102,28,"360",false
103,28,"346",true
104,29,"Kibibyte",true
105,29,"Kelobyte",false
106,29,"Kilobyte",false
107,29,"Kylobyte",false
108,30,"1986",false
109,30,"1995",true
110,30,"1989",false
111,30,"1997",false
112,31,"Mail Internet Mail Exchange",false
113,31,"Multipurpose Internet Mail Extensions",true
114,31,"Multipurpose Interleave Mail Exchange",false
115,31,"Mail Interleave Method Exchange",false
116,32,"Armin Arlelt",false
117,32,"Mikasa Ackermann",false
118,32,"Reiner Braun",true
119,32,"Eren Jaeger",false
120,33,"Demon Days",false
121,33,"Plastic Beach",true
122,33,"Humanz",false
123,33,"The Fall",false
124,34,"2",false
125,34,"0",true
126,34,"1",false
127,34,"3",false
128,35,"Magmar",false
129,35,"Rhydon",false
130,35,"Jynx",true
131,35,"Electabuzz",false
132,36,"Cairo",false
133,36,"Beijing",false
134,36,"Moscow",false
135,36,"Sydney",true
136,37,"Salton Sea",false
137,37,"Caspian Sea",false
138,37,"Aral Sea",false
139,37,"Dead Sea",true
140,38,"Snoop Dogg",false
141,38,"Coolio",true
142,38,"Dr Dre",false
143,38,"Ice T",false
144,39,"Rick &amp; Morty",true
145,39,"South Park",false
146,39,"American Dad",false
147,39,"Family Guy",false
148,40,"Kirisame Marisa",false
149,40,"Hakurei Reimu",false
150,40,"Kochiya Sanae",false
151,40,"Izayoi Sakuya",true
152,41,"Intestines",false
153,41,"Heart",false
154,41,"Liver",true
155,41,"Stomach",false
156,42,"Mausoleum of Maussollos",false
157,42,"The Pyramids",false
158,42,"Petra",true
159,42,"Alhambra",false
160,43,"Nerdcore",true
161,43,"Christian",false
162,43,"Horrorcore",false
163,43,"Crunk",false
164,44,"Method Man",false
165,44,"Masta Killa",true
166,44,"Inspectah Deck",false
167,44,"GZA",false
168,45,"3",false
169,45,"1",true
170,45,"2",false
171,45,"4",false
172,46,"False",false
173,46,"True",true
174,47,"October 21, 1994",false
175,47,"July 11, 1992",false
176,47,"March 26, 1995",true
177,47,"February 14, 1993",false
178,48,"Diamond &amp; Aquamarina",false
179,48,"DJ Octavio &amp; Crusty Sean",false
180,48,"Pearl &amp; Marina",true
181,48,"Callie &amp; Marie",false
182,49,"10",true
183,49,"14",false
184,49,"16",false
185,49,"13",false
186,50,"Batman v Superman: Black of Knight",false
187,50,"Batman v Superman: Knightfall",false
188,50,"Batman v Superman: Superapocalypse",false
189,50,"Batman v Superman: Dawn of Justice",true
190,51,"Phoenix",true
191,51,"Montgomery",false
192,51,"Raleigh",false
193,51,"Tallahassee",false
194,52,"Eagle",true
195,52,"Bogey",false
196,52,"Birdie",false
197,52,"Albatross",false
